area_name,prefecture,slug,source_url,type,parent_area,in_me,in_mg,ahrefs_volume,reasons,salon_count
北海道,北海道,sapporo-北海道,/sapporo/,top_level,北海道・札幌（すすき,o,,860,"top_level_base,in_ME,ahrefs_860",73
札幌,北海道,sapporo-札幌,/sapporo/,top_level,北海道・札幌（すすき,o,o,15760,"top_level_base,in_ME,in_MG,ahrefs_15760",73
佐倉,千葉県,yachiyo-佐倉,/yachiyo/,top_level,八千代・四街道・佐倉,,,450,top_level_base,49
八千代,千葉県,yachiyo-八千代,/yachiyo/,top_level,八千代・四街道・佐倉,,,200,top_level_base,49
八柱,千葉県,matsudo-八柱,/matsudo/yabashira-station/all/,top_level,松戸・八柱,,,800,"top_level_base,ahrefs_800",17
北松戸,千葉県,kitamatsudo,/matsudo/kitamatsudo-station/all/,station,松戸・八柱,o,o,0,"in_ME,in_MG",3
千葉,千葉県,chiba,/chiba/chiba-station/all/,top_level,千葉,o,o,18650,"top_level_base,in_ME,in_MG,ahrefs_18650",40
千葉中央,千葉県,chibachuo,/chiba/chibachuo-station/all/,station,千葉,o,o,350,"in_ME,in_MG",45
南柏,千葉県,minamikashiwa,/kashiwa/minamikashiwa-station/all/,station,柏・我孫子,,,950,ahrefs_950,8
南行徳,千葉県,minamigyotoku,/urayasu/minamigyotoku-station/all/,station,浦安・行徳,o,,0,in_ME,2
四街道,千葉県,yachiyo-四街道,/yachiyo/,top_level,八千代・四街道・佐倉,,,300,top_level_base,49
大森台,千葉県,omoridai,/chiba/omoridai-station/all/,station,千葉,,o,0,in_MG,1
富里,千葉県,narita-富里,/narita/,top_level,成田・富里,,,0,top_level_base,33
市原,千葉県,ichihara-市原,/ichihara/,top_level,市原・木更津・房総,,,150,top_level_base,54
市川,千葉県,ichikawa-市川,/ichikawa/ichikawa-station/all/,top_level,市川・本八幡,o,,1300,"top_level_base,in_ME,ahrefs_1300",13
幕張,千葉県,makuhari,/chiba/makuhari-station/all/,station,千葉,,,950,ahrefs_950,15
成田,千葉県,narita-成田,/narita/,top_level,成田・富里,,,3700,"top_level_base,ahrefs_3700",33
我孫子,千葉県,kashiwa,/kashiwa/abiko-station/all/,top_level,柏・我孫子,,,1300,"top_level_base,ahrefs_1300",11
房総,千葉県,ichihara-房総,/ichihara/,top_level,市原・木更津・房総,,,0,top_level_base,54
新松戸,千葉県,shinmatsudo,/matsudo/shinmatsudo-station/all/,station,松戸・八柱,o,o,2100,"in_ME,in_MG,ahrefs_2100",18
新船橋,千葉県,shinfunabashi,/funabashi/shinfunabashi-station/all/,station,船橋・西船橋,o,o,0,"in_ME,in_MG",1
木更津,千葉県,ichihara-木更津,/ichihara/,top_level,市原・木更津・房総,,,650,"top_level_base,ahrefs_650",54
本八幡,千葉県,ichikawa-本八幡,/ichikawa/motoyawata-station/all/,top_level,市川・本八幡,o,,3150,"top_level_base,in_ME,ahrefs_3150",35
本千葉,千葉県,honchiba,/chiba/honchiba-station/all/,station,千葉,o,o,0,"in_ME,in_MG",3
東千葉,千葉県,higashichiba,/chiba/higashichiba-station/all/,station,千葉,o,o,0,"in_ME,in_MG",6
東松戸,千葉県,higashimatsudo,/matsudo/higashimatsudo-station/all/,station,松戸・八柱,o,o,0,"in_ME,in_MG",4
松戸,千葉県,matsudo-松戸,/matsudo/matsudo-station/all/,top_level,松戸・八柱,o,o,7170,"top_level_base,in_ME,in_MG,ahrefs_7170",54
津田沼,千葉県,tsudanuma-津田沼,/tsudanuma/tsudanuma-station/all/,top_level,津田沼・習志野,o,,3250,"top_level_base,in_ME,ahrefs_3250",28
浦安,千葉県,urayasu-浦安,/urayasu/urayasu-station/all/,top_level,浦安・行徳,o,o,2850,"top_level_base,in_ME,in_MG,ahrefs_2850",17
稲毛,千葉県,inage,/chiba/inage-station/all/,station,千葉,,,850,ahrefs_850,16
習志野,千葉県,tsudanuma-習志野,/tsudanuma/,top_level,津田沼・習志野,,,0,top_level_base,33
船橋,千葉県,funabashi-船橋,/funabashi/funabashi-station/all/,top_level,船橋・西船橋,o,o,10800,"top_level_base,in_ME,in_MG,ahrefs_10800",58
蘇我,千葉県,soga,/chiba/soga-station/all/,station,千葉,,,1400,ahrefs_1400,17
行徳,千葉県,urayasu-行徳,/urayasu/gyotoku-station/all/,top_level,浦安・行徳,o,,1330,"top_level_base,in_ME,ahrefs_1330",25
西千葉,千葉県,nishichiba,/chiba/nishichiba-station/all/,station,千葉,o,o,0,"in_ME,in_MG",3
西船橋,千葉県,funabashi-西船橋,/funabashi/nishifunabashi-station/all/,top_level,船橋・西船橋,o,o,5240,"top_level_base,in_ME,in_MG,ahrefs_5240",42
和歌山,和歌山県,wakayama,/wakayama/,top_level,和歌山,o,o,9590,"top_level_base,in_ME,in_MG,ahrefs_9590",16
さいたま,埼玉県,omiya-さいたま,/omiya/,top_level,大宮・さいたま,o,,0,"top_level_base,in_ME",87
さいたま新都心,埼玉県,saitamashintoshin,/omiya/saitamashintoshin-station/all/,station,大宮・さいたま,o,,0,in_ME,1
ふじみ野,埼玉県,fujimino,/shiki/fujimino-station/all/,station,志木・みずほ台,,,800,ahrefs_800,1
みずほ台,埼玉県,shiki-みずほ台,/shiki/mizuhodai-station/all/,top_level,志木・みずほ台,o,o,2150,"top_level_base,in_ME,in_MG,ahrefs_2150",25
上尾,埼玉県,ageo-上尾,/ageo/ageo-station/all/,top_level,上尾・宮原,o,,2900,"top_level_base,in_ME,ahrefs_2900",30
上福岡,埼玉県,kamifukuoka,/shiki/kamifukuoka-station/all/,station,志木・みずほ台,o,,1200,"in_ME,ahrefs_1200",13
入間,埼玉県,tokorozawa-入間,/tokorozawa/,top_level,所沢・入間,,,800,"top_level_base,ahrefs_800",72
北上尾,埼玉県,kitaageo,/ageo/kitaageo-station/all/,station,上尾・宮原,o,,0,in_ME,1
北浦和,埼玉県,kitaurawa,/urawa/kitaurawa-station/all/,station,浦和・武蔵浦和,o,o,1300,"in_ME,in_MG,ahrefs_1300",18
北越谷,埼玉県,kitakoshigaya,/koshigaya/kitakoshigaya-station/all/,station,越谷・春日部,o,o,0,"in_ME,in_MG",5
南浦和,埼玉県,minamiurawa,/urawa/minamiurawa-station/all/,station,浦和・武蔵浦和,o,o,2500,"in_ME,in_MG,ahrefs_2500",33
大宮,埼玉県,omiya-大宮,/omiya/omiya-station/all/,top_level,大宮・さいたま,o,o,29270,"top_level_base,in_ME,in_MG,ahrefs_29270",71
宮原,埼玉県,ageo-宮原,/ageo/miyahara-station/all/,top_level,上尾・宮原,,,0,top_level_base,11
川口,埼玉県,kawaguchi,/nishikawaguchi/kawaguchi-station/all/,station,西川口・蕨,o,o,4600,"in_ME,in_MG,ahrefs_4600",25
川越,埼玉県,kawagoe-川越,/kawagoe/,top_level,川越・東松山,o,o,1740,"top_level_base,in_ME,in_MG,ahrefs_1740",93
志木,埼玉県,shiki-志木,/shiki/shiki-station/all/,top_level,志木・みずほ台,o,,2000,"top_level_base,in_ME,ahrefs_2000",19
所沢,埼玉県,tokorozawa-所沢,/tokorozawa/tokorozawa-station/all/,top_level,所沢・入間,o,o,7450,"top_level_base,in_ME,in_MG,ahrefs_7450",29
新所沢,埼玉県,shintokorozawa,/tokorozawa/shintokorozawa-station/all/,station,所沢・入間,o,o,550,"in_ME,in_MG,ahrefs_550",7
新越谷,埼玉県,shinkoshigaya,/koshigaya/shinkoshigaya-station/all/,station,越谷・春日部,o,o,1600,"in_ME,in_MG,ahrefs_1600",43
春日部,埼玉県,koshigaya-春日部,/koshigaya/kasukabe-station/all/,top_level,越谷・春日部,o,o,3700,"top_level_base,in_ME,in_MG,ahrefs_3700",28
朝霞台,埼玉県,asakadai,/shiki/asakadai-station/all/,station,志木・みずほ台,,,1700,ahrefs_1700,24
東大宮,埼玉県,higashiomiya,/omiya/higashiomiya-station/all/,station,大宮・さいたま,o,o,0,"in_ME,in_MG",9
東川口,埼玉県,higashikawaguchi,/urawa/higashikawaguchi-station/all/,station,浦和・武蔵浦和,o,o,400,"in_ME,in_MG",12
東所沢,埼玉県,higashitokorozawa,/tokorozawa/higashitokorozawa-station/all/,station,所沢・入間,o,o,0,"in_ME,in_MG",4
東松山,埼玉県,kawagoe-東松山,/kawagoe/,top_level,川越・東松山,o,,650,"top_level_base,in_ME,ahrefs_650",93
東浦和,埼玉県,higashiurawa,/urawa/higashiurawa-station/all/,station,浦和・武蔵浦和,o,o,0,"in_ME,in_MG",3
桶川,埼玉県,okegawa,/ageo/okegawa-station/all/,station,上尾・宮原,o,,700,"in_ME,ahrefs_700",4
武蔵浦和,埼玉県,urawa-武蔵浦和,/urawa/musashiurawa-station/all/,top_level,浦和・武蔵浦和,o,o,1000,"top_level_base,in_ME,in_MG,ahrefs_1000",21
浦和,埼玉県,urawa-浦和,/urawa/urawa-station/all/,top_level,浦和・武蔵浦和,o,o,5040,"top_level_base,in_ME,in_MG,ahrefs_5040",30
熊谷,埼玉県,kumagaya-熊谷,/kumagaya/,top_level,熊谷・行田,,o,2900,"top_level_base,in_MG,ahrefs_2900",32
草加,埼玉県,souka-草加,/souka/souka-station/all/,top_level,草加・谷塚,,o,3350,"top_level_base,in_MG,ahrefs_3350",28
行田,埼玉県,kumagaya-行田,/kumagaya/,top_level,熊谷・行田,,,0,top_level_base,32
西川口,埼玉県,nishikawaguchi,/nishikawaguchi/nishikawaguchi-station/all/,top_level,西川口・蕨,o,o,3250,"top_level_base,in_ME,in_MG,ahrefs_3250",30
西所沢,埼玉県,nishitokorozawa,/tokorozawa/nishitokorozawa-station/all/,station,所沢・入間,o,o,0,"in_ME,in_MG",3
谷塚,埼玉県,souka-谷塚,/souka/yatsuka-station/all/,top_level,草加・谷塚,,,500,"top_level_base,ahrefs_500",4
越谷,埼玉県,koshigaya-越谷,/koshigaya/koshigaya-station/all/,top_level,越谷・春日部,o,o,5850,"top_level_base,in_ME,in_MG,ahrefs_5850",20
鴻巣,埼玉県,konosu,/ageo/konosu-station/all/,station,上尾・宮原,,,1200,ahrefs_1200,6
大分,大分県,oita,/oita/,top_level,大分,o,o,16470,"top_level_base,in_ME,in_MG,ahrefs_16470",19
京橋,大阪府,kyobashi-京橋,/kyobashi/kyobashi-station/all/,top_level,京橋・守口,o,o,8860,"top_level_base,in_ME,in_MG,ahrefs_8860",41
八尾,大阪府,higashiosaka-八尾,/higashiosaka/yao-station/all/,top_level,東大阪・八尾,o,,400,"top_level_base,in_ME",1
十三,大阪府,juso-十三,/juso/juso-station/all/,top_level,十三・西淀川,,,4790,"top_level_base,ahrefs_4790",27
南大阪,大阪府,sakai,/sakai/,top_level,堺・南大阪,,,150,top_level_base,55
南森町,大阪府,tenma-南森町,/tenma/minamimorimachi-station/all/,top_level,天満・南森町,o,o,2000,"top_level_base,in_ME,in_MG,ahrefs_2000",9
堺市,大阪府,sakaishi,/sakai/sakaishi-station/all/,station,堺・南大阪,,,1350,ahrefs_1350,1
堺東,大阪府,sakaihigashi,/sakai/sakaihigashi-station/all/,station,堺・南大阪,,o,11630,"in_MG,ahrefs_11630",29
堺筋本町,大阪府,honmachi-堺筋本町,/honmachi/sakaisujihonmachi-station/all/,top_level,本町・堺筋本町,o,o,11040,"top_level_base,in_ME,in_MG,ahrefs_11040",94
大阪キタ,大阪府,osakakita-大阪キタ,/osakakita/,top_level,大阪キタ・梅田,,,0,top_level_base,92
天満,大阪府,tenma-天満,/tenma/tenma-station/all/,top_level,天満・南森町,o,,1300,"top_level_base,in_ME,ahrefs_1300",7
天満橋,大阪府,tenmabashi,/tenma/tenmabashi-station/all/,station,天満・南森町,o,,500,"in_ME,ahrefs_500",1
天王寺,大阪府,tennoji,/tanikyu/tennoji-station/all/,station,谷町九丁目,,,3560,ahrefs_3560,5
天神橋筋六丁目,大阪府,tenroku,/tenma/tenroku-station/all/,station,天満・南森町,o,,200,in_ME,5
守口,大阪府,kyobashi-守口,/kyobashi/moriguchi-station/all/,top_level,京橋・守口,o,,1050,"top_level_base,in_ME,ahrefs_1050",2
守口市,大阪府,moriguchishi,/kyobashi/moriguchishi-station/all/,station,京橋・守口,o,,200,in_ME,7
布施,大阪府,fuse,/higashiosaka/fuse-station/all/,station,東大阪・八尾,,,3650,ahrefs_3650,16
心斎橋,大阪府,shinsaibashi,/shinsaibashi/shinsaibashi-station/all/,top_level,心斎橋,o,o,3200,"top_level_base,in_ME,in_MG,ahrefs_3200",9
新大阪,大阪府,nishinakajima-新大阪,/nishinakajima/shinosaka-station/all/,top_level,西中島・新大阪,o,o,11960,"top_level_base,in_ME,in_MG,ahrefs_11960",48
本町,大阪府,honmachi-本町,/honmachi/honmachi-station/all/,top_level,本町・堺筋本町,o,o,3050,"top_level_base,in_ME,in_MG,ahrefs_3050",6
東大阪,大阪府,higashiosaka-東大阪,/higashiosaka/,top_level,東大阪・八尾,o,,450,"top_level_base,in_ME",22
東梅田,大阪府,higashiumeda,/osakakita/higashiumeda-station/all/,station,大阪キタ・梅田,o,o,0,"in_ME,in_MG",24
桜川,大阪府,sakuragawa,/osakaminami/sakuragawa-station/all/,station,難波・日本橋,,,1500,ahrefs_1500,3
梅田,大阪府,osakakita-梅田,/osakakita/umeda-station/all/,top_level,大阪キタ・梅田,o,o,16150,"top_level_base,in_ME,in_MG,ahrefs_16150",70
江坂,大阪府,esaka-江坂,/esaka/esaka-station/all/,top_level,江坂・豊中,,,2050,"top_level_base,ahrefs_2050",20
西中島,大阪府,nishinakajima-西中島,/nishinakajima/,top_level,西中島・新大阪,,,1800,"top_level_base,ahrefs_1800",104
西梅田,大阪府,nishiumeda,/osakakita/nishiumeda-station/all/,station,大阪キタ・梅田,o,o,0,"in_ME,in_MG",17
西淀川,大阪府,juso-西淀川,/juso/,top_level,十三・西淀川,,,0,top_level_base,29
谷町九丁目,大阪府,tanikyu,/tanikyu/tanikyu-station/all/,top_level,谷町九丁目,o,o,700,"top_level_base,in_ME,in_MG,ahrefs_700",34
谷町六丁目,大阪府,taniroku,/tanikyu/taniroku-station/all/,station,谷町九丁目,o,o,0,"in_ME,in_MG",3
豊中,大阪府,esaka-豊中,/esaka/,top_level,江坂・豊中,o,,500,"top_level_base,in_ME,ahrefs_500",42
近鉄八尾,大阪府,kintetsuyao,/higashiosaka/kintetsuyao-station/all/,station,東大阪・八尾,o,,0,in_ME,7
長堀橋,大阪府,nagahoribashi,/shinsaibashi/nagahoribashi-station/all/,station,心斎橋,o,o,500,"in_ME,in_MG,ahrefs_500",17
難波,大阪府,osakaminami-難波,/osakaminami/nanba-station/all/,top_level,難波・日本橋,o,o,4770,"top_level_base,in_ME,in_MG,ahrefs_4770",23
奈良,奈良県,nara-奈良,/nara/,top_level,奈良・生駒,o,o,4600,"top_level_base,in_ME,in_MG,ahrefs_4600",13
生駒,奈良県,nara-生駒,/nara/,top_level,奈良・生駒,,,0,top_level_base,13
仙台,宮城県,sendai-仙台,/sendai/,top_level,宮城・仙台,o,o,23880,"top_level_base,in_ME,in_MG,ahrefs_23880",92
宮城,宮城県,sendai-宮城,/sendai/,top_level,宮城・仙台,,,1050,"top_level_base,ahrefs_1050",92
宮崎,宮崎県,miyazaki,/miyazaki/,top_level,宮崎,o,,6140,"top_level_base,in_ME,ahrefs_6140",13
富山,富山県,toyama-富山,/toyama/,top_level,富山・高岡,,o,7150,"top_level_base,in_MG,ahrefs_7150",80
高岡,富山県,toyama-高岡,/toyama/,top_level,富山・高岡,o,,1100,"top_level_base,in_ME,ahrefs_1100",80
下関,山口県,yamaguchi-下関,/yamaguchi/,top_level,山口・下関,o,,700,"top_level_base,in_ME,ahrefs_700",23
山口,山口県,yamaguchi-山口,/yamaguchi/,top_level,山口・下関,o,,4600,"top_level_base,in_ME,ahrefs_4600",23
山形,山形県,yamagata-山形,/yamagata/,top_level,山形・米沢,,,2720,"top_level_base,ahrefs_2720",13
米沢,山形県,yamagata-米沢,/yamagata/,top_level,山形・米沢,o,,350,"top_level_base,in_ME",13
山梨,山梨県,yamanashi-山梨,/yamanashi/,top_level,山梨・甲府,o,,4800,"top_level_base,in_ME,ahrefs_4800",22
甲府,山梨県,yamanashi-甲府,/yamanashi/,top_level,山梨・甲府,o,,1600,"top_level_base,in_ME,ahrefs_1600",22
多治見,岐阜県,mino-多治見,/mino/,top_level,美濃・多治見・飛騨,,,1900,"top_level_base,ahrefs_1900",48
大垣,岐阜県,ogaki-大垣,/ogaki/,top_level,大垣・瑞穂,o,,1200,"top_level_base,in_ME,ahrefs_1200",43
岐南,岐阜県,gifu-岐南,/gifu/,top_level,岐阜・岐南・羽島,o,,200,"top_level_base,in_ME",111
岐阜,岐阜県,gifu-岐阜,/gifu/,top_level,岐阜・岐南・羽島,o,o,17150,"top_level_base,in_ME,in_MG,ahrefs_17150",111
瑞穂,岐阜県,ogaki-瑞穂,/ogaki/,top_level,大垣・瑞穂,,,0,top_level_base,43
美濃,岐阜県,mino-美濃,/mino/,top_level,美濃・多治見・飛騨,,,0,top_level_base,48
羽島,岐阜県,gifu-羽島,/gifu/,top_level,岐阜・岐南・羽島,,,0,top_level_base,111
飛騨,岐阜県,mino-飛騨,/mino/,top_level,美濃・多治見・飛騨,,,0,top_level_base,48
倉敷,岡山県,okayama-倉敷,/okayama/,top_level,岡山・倉敷,o,,2100,"top_level_base,in_ME,ahrefs_2100",59
岡山,岡山県,okayama-岡山,/okayama/,top_level,岡山・倉敷,o,o,12100,"top_level_base,in_ME,in_MG,ahrefs_12100",59
岩手,岩手県,iwate-岩手,/iwate/,top_level,岩手・盛岡,,,1260,"top_level_base,ahrefs_1260",17
盛岡,岩手県,iwate-盛岡,/iwate/,top_level,岩手・盛岡,o,,1630,"top_level_base,in_ME,ahrefs_1630",17
島根,島根県,shimane-島根,/shimane/,top_level,島根・松江,,,1260,"top_level_base,ahrefs_1260",3
松江,島根県,shimane-松江,/shimane/,top_level,島根・松江,,,2350,"top_level_base,ahrefs_2350",3
広島,広島県,hiroshima-広島,/hiroshima/,top_level,広島・福山,o,o,21410,"top_level_base,in_ME,in_MG,ahrefs_21410",107
福山,広島県,hiroshima-福山,/hiroshima/,top_level,広島・福山,o,,15200,"top_level_base,in_ME,ahrefs_15200",107
徳島,徳島県,tokushima,/tokushima/,top_level,徳島,o,,3260,"top_level_base,in_ME,ahrefs_3260",4
愛媛,愛媛県,ehime-愛媛,/ehime/,top_level,愛媛・松山,o,o,750,"top_level_base,in_ME,in_MG,ahrefs_750",19
松山,愛媛県,ehime-松山,/ehime/,top_level,愛媛・松山,o,,4350,"top_level_base,in_ME,ahrefs_4350",19
一宮,愛知県,owari-一宮,/owari/,top_level,尾張・一宮,o,,11450,"top_level_base,in_ME,ahrefs_11450",156
丸の内,愛知県,marunouchi,/sakae/marunouchi-station/all/,station,栄,o,o,1400,"in_ME,in_MG,ahrefs_1400",39
今池,愛知県,shinsakae-今池,/shinsakae/imaike-station/all/,top_level,新栄町・千種・今池,o,o,2200,"top_level_base,in_ME,in_MG,ahrefs_2200",30
千種,愛知県,shinsakae-千種,/shinsakae/chikusa-station/all/,top_level,新栄町・千種・今池,o,,750,"top_level_base,in_ME,ahrefs_750",14
半田,愛知県,chita-半田,/chita/,top_level,知多・大府・半田,,,500,"top_level_base,ahrefs_500",102
名古屋,愛知県,nagoya-名古屋,/nagoya/nagoya-station/all/,top_level,名古屋・名駅・納屋橋,o,o,30010,"top_level_base,in_ME,in_MG,ahrefs_30010",62
名駅,愛知県,nagoya-名駅,/nagoya/,top_level,名古屋・名駅・納屋橋,o,o,2150,"top_level_base,in_ME,in_MG,ahrefs_2150",90
堀田,愛知県,horita-堀田,/horita/horita-station/all/,top_level,堀田・新瑞橋,,,200,top_level_base,3
大府,愛知県,chita-大府,/chita/,top_level,知多・大府・半田,,,0,top_level_base,102
大曽根,愛知県,kurokawa-大曽根,/kurokawa/ozone-station/all/,top_level,黒川・大曽根,,o,1500,"top_level_base,in_MG,ahrefs_1500",10
大須,愛知県,tsurumai-大須,/tsurumai/,top_level,大須・鶴舞,,,1150,"top_level_base,ahrefs_1150",22
天白区,愛知県,showa-天白区,/showa/,top_level,名古屋・昭和区・天白区,,,0,top_level_base,25
守山,愛知県,moriyama-守山,/moriyama/,top_level,守山・小幡,,,0,top_level_base,16
小幡,愛知県,moriyama-小幡,/moriyama/obata-station/all/,top_level,守山・小幡,,,0,top_level_base,5
小牧,愛知県,komaki-小牧,/komaki/,top_level,小牧・春日井,o,,1300,"top_level_base,in_ME,ahrefs_1300",109
小田井,愛知県,otai-小田井,/otai/otai-station/all/,top_level,小田井・比良,,,200,top_level_base,6
尾張,愛知県,owari-尾張,/owari/,top_level,尾張・一宮,o,,350,"top_level_base,in_ME",156
岡崎,愛知県,toyota-岡崎,/toyota/,top_level,西三河・豊田・岡崎,o,,3350,"top_level_base,in_ME,ahrefs_3350",205
御器所,愛知県,gokiso,/showa/gokiso-station/all/,station,名古屋・昭和区・天白区,o,,0,in_ME,2
新栄町,愛知県,shinsakae-新栄町,/shinsakae/shinsakaemachi-station/all/,top_level,新栄町・千種・今池,o,o,700,"top_level_base,in_ME,in_MG,ahrefs_700",33
新瑞橋,愛知県,horita-新瑞橋,/horita/aratamabashi-station/all/,top_level,堀田・新瑞橋,,,250,top_level_base,6
星ヶ丘,愛知県,hoshigaoka-星ヶ丘,/hoshigaoka/hoshigaoka-station/all/,top_level,星ヶ丘・藤が丘,,,550,"top_level_base,ahrefs_550",3
春日井,愛知県,komaki-春日井,/komaki/,top_level,小牧・春日井,o,,4950,"top_level_base,in_ME,ahrefs_4950",109
昭和区,愛知県,showa-昭和区,/showa/,top_level,名古屋・昭和区・天白区,,,0,top_level_base,25
東三河,愛知県,toyohashi-東三河,/toyohashi/,top_level,東三河・豊橋・豊川,,,0,top_level_base,86
東海通,愛知県,tokaidori-東海通,/tokaidori/tokaidori-station/all/,top_level,東海通・高畑,,,500,"top_level_base,ahrefs_500",9
柴田,愛知県,kasadera-柴田,/kasadera/shibata-station/all/,top_level,笠寺・柴田,,,550,"top_level_base,ahrefs_550",8
比良,愛知県,otai-比良,/otai/hira-station/all/,top_level,小田井・比良,,,0,top_level_base,2
池下,愛知県,ikeshita,/shinsakae/ikeshita-station/all/,station,新栄町・千種・今池,,,1300,ahrefs_1300,9
熱田,愛知県,kanayama-熱田,/kanayama/,top_level,金山・熱田,o,,150,"top_level_base,in_ME",60
矢場町,愛知県,yabacho,/sakae/yabacho-station/all/,station,栄,,,500,ahrefs_500,21
知多,愛知県,chita-知多,/chita/,top_level,知多・大府・半田,,,0,top_level_base,102
笠寺,愛知県,kasadera-笠寺,/kasadera/kasadera-station/all/,top_level,笠寺・柴田,,,0,top_level_base,6
納屋橋,愛知県,nagoya-納屋橋,/nagoya/,top_level,名古屋・名駅・納屋橋,o,,1050,"top_level_base,in_ME,ahrefs_1050",90
藤が丘,愛知県,hoshigaoka-藤が丘,/hoshigaoka/fujigaoka-station/all/,top_level,星ヶ丘・藤が丘,,,1050,"top_level_base,ahrefs_1050",18
西三河,愛知県,toyota-西三河,/toyota/,top_level,西三河・豊田・岡崎,o,,350,"top_level_base,in_ME",205
豊川,愛知県,toyohashi-豊川,/toyohashi/,top_level,東三河・豊橋・豊川,,,600,"top_level_base,ahrefs_600",86
豊橋,愛知県,toyohashi-豊橋,/toyohashi/,top_level,東三河・豊橋・豊川,,,6550,"top_level_base,ahrefs_6550",86
豊田,愛知県,toyota-豊田,/toyota/,top_level,西三河・豊田・岡崎,o,,3700,"top_level_base,in_ME,ahrefs_3700",205
金山,愛知県,kanayama-金山,/kanayama/kanayama-station/all/,top_level,金山・熱田,o,o,5650,"top_level_base,in_ME,in_MG,ahrefs_5650",52
高岳,愛知県,takaoka,/shinsakae/takaoka-station/all/,station,新栄町・千種・今池,o,o,2200,"in_ME,in_MG,ahrefs_2200",31
高畑,愛知県,tokaidori-高畑,/tokaidori/takabata-station/all/,top_level,東海通・高畑,,,0,top_level_base,24
鶴舞,愛知県,tsurumai-鶴舞,/tsurumai/tsurumai-station/all/,top_level,大須・鶴舞,o,,350,"top_level_base,in_ME",5
黒川,愛知県,kurokawa-黒川,/kurokawa/kurokawa-station/all/,top_level,黒川・大曽根,,,350,top_level_base,10
新潟,新潟県,niigata-新潟,/niigata/,top_level,新潟・長岡,,o,9310,"top_level_base,in_MG,ahrefs_9310",32
長岡,新潟県,niigata-長岡,/niigata/,top_level,新潟・長岡,o,,1400,"top_level_base,in_ME,ahrefs_1400",32
ひばりヶ丘,東京都,hibarigaoka,/nishitokyo/hibarigaoka-station/all/,station,西東京・東久留米・清瀬,,,1200,ahrefs_1200,6
三軒茶屋,東京都,sangenjaya,/sangenjaya/sangenjaya-station-north/all/,top_level,三軒茶屋,o,o,6690,"top_level_base,in_ME,in_MG,ahrefs_6690",17
三鷹,東京都,kichijoji-三鷹,/kichijoji/mitaka-station/all/,top_level,吉祥寺・三鷹,,o,2500,"top_level_base,in_MG,ahrefs_2500",17
上板橋,東京都,kamiitabashi,/ooyama/kamiitabashi-station/all/,station,東武東上線・大山・下赤塚,,o,0,in_MG,2
