prefecture_id,prefecture_name,parent_slug,parent_area_name_on_page
23,愛知県,komaki,小牧春日井
23,愛知県,owari,尾張・一宮
23,愛知県,chita,知多大府・半田
23,愛知県,toyota,西三河豊田・岡崎
23,愛知県,toyohashi,東三河豊橋・豊川
24,三重県,mie,四日市・鈴鹿
24,三重県,tsu,津・松阪・南部
25,滋賀県,shiga,滋賀・大津
26,京都府,kyoto,京都・祇園
27,大阪府,osakakita,大阪キタ・梅田
27,大阪府,tenma,天満・南森町
27,大阪府,honmachi,本町・堺筋本町
27,大阪府,shinsaibashi,心斎橋
27,大阪府,osakaminami,難波・日本橋
27,大阪府,tanikyu,谷町九丁目
27,大阪府,higashiosaka,東大阪八尾
27,大阪府,kyobashi,京橋・守口
27,大阪府,juso,十三・西淀川
27,大阪府,nishinakajima,西中島・新大阪
27,大阪府,esaka,江坂・豊中
27,大阪府,sakai,堺南大阪
28,兵庫県,kobe,神戸・三宮
28,兵庫県,amagasaki,尼崎・西宮
28,兵庫県,himeji,姫路・明石
29,奈良県,nara,奈良・生駒
30,和歌山県,wakayama,和歌山
31,鳥取県,tottori,鳥取・米子
32,島根県,shimane,島根・松江
33,岡山県,okayama,岡山・倉敷
34,広島県,hiroshima,広島・福山
35,山口県,yamaguchi,山口・下関
36,徳島県,tokushima,徳島
37,香川県,kagawa,香川・高松
38,愛媛県,ehime,愛媛・松山
39,高知県,kochi,高知
40,福岡県,hakata,博多
40,福岡県,kitakyushu,北九州・小倉
40,福岡県,kurume,久留米・筑後
41,佐賀県,saga,佐賀・小城
42,長崎県,nagasaki,長崎・佐世保
43,熊本県,kumamoto,熊本・玉名
44,大分県,oita,大分
45,宮崎県,miyazaki,宮崎
46,鹿児島県,kagoshima,鹿児島・霧島
47,沖縄県,okinawa,沖縄・那覇
