area_name,slug,original_name
池袋,ikebukuro,池袋
沖縄,okinawa,沖縄・那覇
沼津,numazu,沼津・富士
津,tsu,津・松阪・南部
津田沼,tsudanuma,津田沼・習志野
浅草,ueno,上野・浅草・御徒町
浜松,hamamatsu,浜松・掛川
浜松町,shinagawa,品川・田町・浜松町
浦和,urawa,浦和・武蔵浦和
浦安,urayasu,浦安・行徳
海老名,atsugi,本厚木・海老名
清瀬,nishitokyo,西東京・東久留米・清瀬
渋谷,shibuya,渋谷・代々木・原宿
湘南台,fujisawa,藤沢・湘南台
溝,mizonokuchi,溝
滋賀,shiga,滋賀・大津
熊本,kumamoto,熊本・玉名
熊谷,kumagaya,熊谷・行田
熱田,kanayama,金山・熱田
片町,fukui,福井・片町
玉名,kumamoto,熊本・玉名
王子,akabane,赤羽・王子・板橋
瑞穂,ogaki,大垣・瑞穂
生駒,nara,奈良・生駒
田町,shinagawa,品川・田町・浜松町
甲府,yamanashi,山梨・甲府
町田,machida,町田・鶴川
登戸,noborito,登戸・向ヶ丘遊園
盛岡,iwate,岩手・盛岡
目黒,meguro,目黒・武蔵小山
相模原,sagamihara,相模原・橋本
相模大野,sagamiono,相模大野・小田急相模原
知多,chita,知多・大府・半田
石川,ishikawa,石川・金沢
祇園,kyoto,京都・祇園
神戸,kobe,神戸・三宮
神栖,ibaraki,茨城央北（水戸・神栖）
神田,kanda,神田
福井,fukui,福井・片町
福山,hiroshima,広島・福山
福島,fukushima,福島・郡山
福生,haijima,拝島・福生
秋津,kumegawa,久米川・秋津
秋田,akita,秋田
秋葉原,akihabara,秋葉原
立川,tachikawa,立川
笠寺,kasadera,笠寺・柴田
笹塚,hatsudai,京王線・初台・笹塚
筑後,kurume,久留米・筑後
米子,tottori,鳥取・米子
米沢,yamagata,山形・米沢
納屋橋,nagoya,名古屋・名駅・納屋橋
練馬,nerima,西武池袋線・練馬・江古田
美濃,mino,美濃・多治見・飛騨
群馬,gunma,群馬・高崎
羽島,gifu,岐阜・岐南・羽島
習志野,tsudanuma,津田沼・習志野
聖蹟桜ヶ丘,fuchu,府中・聖蹟桜ヶ丘
自由が丘,jiyugaoka,自由が丘・学芸大学
船橋,funabashi,船橋・西船橋
茅ヶ崎,chigasaki,茅ヶ崎・平塚
茅場町,nihonbashi,日本橋・茅場町
茨城央北,ibaraki,茨城央北（水戸・神栖）
茨城西南,tsukuba,茨城西南（つくば・土浦）
草加,souka,草加・谷塚
荻窪,ogikubo,荻窪・阿佐ヶ谷
菊名,shinyokohama,新横浜・菊名
葛西,kasai,葛西・西葛西
蒲田,kamata,蒲田
蕨,nishikawaguchi,西川口・蕨
藤が丘,hoshigaoka,星ヶ丘・藤が丘
藤沢,fujisawa,藤沢・湘南台
行徳,urayasu,浦安・行徳
行田,kumagaya,熊谷・行田
西三河,toyota,西三河・豊田・岡崎
西中島,nishinakajima,西中島・新大阪
西宮,amagasaki,尼崎・西宮
西川口,nishikawaguchi,西川口・蕨
西東京,nishitokyo,西東京・東久留米・清瀬
西武新宿線,shakujii,西武新宿線・上石神井
西武池袋線,nerima,西武池袋線・練馬・江古田
西淀川,juso,十三・西淀川
西船橋,funabashi,船橋・西船橋
西葛西,kasai,葛西・西葛西
調布,chofu,調布・千歳烏山
谷塚,souka,草加・谷塚
谷町九丁目,tanikyu,谷町九丁目
豊中,esaka,江坂・豊中
豊川,toyohashi,東三河・豊橋・豊川
豊橋,toyohashi,東三河・豊橋・豊川
豊田,toyota,西三河・豊田・岡崎
赤坂,akasaka,赤坂
赤羽,akabane,赤羽・王子・板橋
越谷,koshigaya,越谷・春日部
那覇,okinawa,沖縄・那覇
郡山,fukushima,福島・郡山
金山,kanayama,金山・熱田
金沢,ishikawa,石川・金沢
鈴鹿,mie,四日市・鈴鹿
銀座,ginza,銀座
錦糸町,kinshicho,錦糸町・押上・両国
長岡,niigata,新潟・長岡
長崎,nagasaki,長崎・佐世保
長野,nagano,長野・松本
門前仲町,monnaka,門前仲町・東陽町
関内,yokohama,横浜・関内
阿佐ヶ谷,ogikubo,荻窪・阿佐ヶ谷
難波,osakaminami,難波・日本橋
霧島,kagoshima,鹿児島・霧島
青森,aomori,青森・弘前
青葉台,saginuma,鷺沼・たまプラーザ・青葉台
静岡,shizuoka,静岡・中部
飛騨,mino,美濃・多治見・飛騨
飯田橋,iidabashi,四ツ谷・飯田橋・市ヶ谷
香川,kagawa,香川・高松
駒込,otsuka,大塚・巣鴨・駒込
高円寺,nakano,中野・高円寺
高岡,toyama,富山・高岡
高崎,gunma,群馬・高崎
高松,kagawa,香川・高松
高田馬場,okubo,大久保・高田馬場
高畑,tokaidori,東海通・高畑
高知,kochi,高知
鳥取,tottori,鳥取・米子
鶯谷,nippori,鶯谷・日暮里
鶴川,machida,町田・鶴川
鶴舞,tsurumai,大須・鶴舞
鶴見,kawasaki,川崎・鶴見
鷺沼,saginuma,鷺沼・たまプラーザ・青葉台
鹿児島,kagoshima,鹿児島・霧島
麻布十番,roppongi,六本木・麻布十番
黒川,kurokawa,黒川・大曽根
